# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.160.0/22,2.56.160.0,2.56.163.255,22,255.255.252.0,1024
2.56.208.0/22,2.56.208.0,2.56.211.255,22,255.255.252.0,1024
2.57.48.0/22,2.57.48.0,2.57.51.255,22,255.255.252.0,1024
2.57.104.0/22,2.57.104.0,2.57.107.255,22,255.255.252.0,1024
2.57.156.0/22,2.57.156.0,2.57.159.255,22,255.255.252.0,1024
2.57.180.0/22,2.57.180.0,2.57.183.255,22,255.255.252.0,1024
2.57.252.0/22,2.57.252.0,2.57.255.255,22,255.255.252.0,1024
2.58.144.0/22,2.58.144.0,2.58.147.255,22,255.255.252.0,1024
2.58.213.0/24,2.58.213.0,2.58.213.255,24,255.255.255.0,256
2.59.116.0/24,2.59.116.0,2.59.116.255,24,255.255.255.0,256
2.59.172.0/22,2.59.172.0,2.59.175.255,22,255.255.252.0,1024
5.11.0.0/21,5.11.0.0,5.11.7.255,21,255.255.248.0,2048
5.44.208.0/21,5.44.208.0,5.44.215.255,21,255.255.248.0,2048
5.45.144.0/22,5.45.144.0,5.45.147.255,22,255.255.252.0,1024
5.104.216.0/21,5.104.216.0,5.104.223.255,21,255.255.248.0,2048
5.132.128.0/18,5.132.128.0,5.132.191.255,18,255.255.192.0,16384
5.159.0.0/21,5.159.0.0,5.159.7.255,21,255.255.248.0,2048
5.180.12.0/22,5.180.12.0,5.180.15.255,22,255.255.252.0,1024
5.180.114.0/24,5.180.114.0,5.180.114.255,24,255.255.255.0,256
5.180.152.0/22,5.180.152.0,5.180.155.255,22,255.255.252.0,1024
5.181.148.0/22,5.181.148.0,5.181.151.255,22,255.255.252.0,1024
5.181.228.0/22,5.181.228.0,5.181.231.255,22,255.255.252.0,1024
5.183.172.0/22,5.183.172.0,5.183.175.255,22,255.255.252.0,1024
5.183.204.0/22,5.183.204.0,5.183.207.255,22,255.255.252.0,1024
5.183.216.0/22,5.183.216.0,5.183.219.255,22,255.255.252.0,1024
5.183.244.0/22,5.183.244.0,5.183.247.255,22,255.255.252.0,1024
5.187.33.0/24,5.187.33.0,5.187.33.255,24,255.255.255.0,256
5.198.144.0/20,5.198.144.0,5.198.159.255,20,255.255.240.0,4096
5.206.200.0/21,5.206.200.0,5.206.207.255,21,255.255.248.0,2048
5.252.12.0/22,5.252.12.0,5.252.15.255,22,255.255.252.0,1024
5.253.136.0/22,5.253.136.0,5.253.139.255,22,255.255.252.0,1024
5.253.216.0/22,5.253.216.0,5.253.219.255,22,255.255.252.0,1024
5.254.184.0/21,5.254.184.0,5.254.191.255,21,255.255.248.0,2048
31.3.214.0/23,31.3.214.0,31.3.215.255,23,255.255.254.0,512
31.7.92.0/22,31.7.92.0,31.7.95.255,22,255.255.252.0,1024
31.12.0.0/21,31.12.0.0,31.12.7.255,21,255.255.248.0,2048
31.14.17.0/24,31.14.17.0,31.14.17.255,24,255.255.255.0,256
31.193.160.0/21,31.193.160.0,31.193.167.255,21,255.255.248.0,2048
31.214.139.0/24,31.214.139.0,31.214.139.255,24,255.255.255.0,256
31.217.216.0/21,31.217.216.0,31.217.223.255,21,255.255.248.0,2048
37.10.112.0/24,37.10.112.0,37.10.112.255,24,255.255.255.0,256
37.16.72.0/24,37.16.72.0,37.16.72.255,24,255.255.255.0,256
37.44.213.0/24,37.44.213.0,37.44.213.255,24,255.255.255.0,256
37.44.220.0/22,37.44.220.0,37.44.223.255,22,255.255.252.0,1024
37.61.184.0/21,37.61.184.0,37.61.191.255,21,255.255.248.0,2048
37.75.136.0/21,37.75.136.0,37.75.143.255,21,255.255.248.0,2048
37.98.192.0/21,37.98.192.0,37.98.199.255,21,255.255.248.0,2048
37.122.220.0/22,37.122.220.0,37.122.223.255,22,255.255.252.0,1024
37.143.176.0/20,37.143.176.0,37.143.191.255,20,255.255.240.0,4096
37.153.156.0/23,37.153.156.0,37.153.157.255,23,255.255.254.0,512
37.186.0.0/20,37.186.0.0,37.186.15.255,20,255.255.240.0,4096
37.186.16.0/21,37.186.16.0,37.186.23.255,21,255.255.248.0,2048
37.235.0.0/21,37.235.0.0,37.235.7.255,21,255.255.248.0,2048
37.235.48.0/20,37.235.48.0,37.235.63.255,20,255.255.240.0,4096
37.252.184.0/21,37.252.184.0,37.252.191.255,21,255.255.248.0,2048
37.252.224.0/19,37.252.224.0,37.252.255.255,19,255.255.224.0,8192
45.8.60.0/22,45.8.60.0,45.8.63.255,22,255.255.252.0,1024
45.9.220.0/22,45.9.220.0,45.9.223.255,22,255.255.252.0,1024
45.10.0.0/22,45.10.0.0,45.10.3.255,22,255.255.252.0,1024
45.10.144.0/22,45.10.144.0,45.10.147.255,22,255.255.252.0,1024
45.12.44.0/22,45.12.44.0,45.12.47.255,22,255.255.252.0,1024
45.12.96.0/22,45.12.96.0,45.12.99.255,22,255.255.252.0,1024
45.12.160.0/22,45.12.160.0,45.12.163.255,22,255.255.252.0,1024
45.12.232.0/22,45.12.232.0,45.12.235.255,22,255.255.252.0,1024
45.13.244.0/22,45.13.244.0,45.13.247.255,22,255.255.252.0,1024
45.14.44.0/22,45.14.44.0,45.14.47.255,22,255.255.252.0,1024
45.15.36.0/22,45.15.36.0,45.15.39.255,22,255.255.252.0,1024
45.15.52.0/22,45.15.52.0,45.15.55.255,22,255.255.252.0,1024
45.67.16.0/22,45.67.16.0,45.67.19.255,22,255.255.252.0,1024
45.67.44.0/22,45.67.44.0,45.67.47.255,22,255.255.252.0,1024
45.67.168.0/22,45.67.168.0,45.67.171.255,22,255.255.252.0,1024
45.80.176.0/22,45.80.176.0,45.80.179.255,22,255.255.252.0,1024
45.81.8.0/22,45.81.8.0,45.81.11.255,22,255.255.252.0,1024
45.81.236.0/22,45.81.236.0,45.81.239.255,22,255.255.252.0,1024
45.81.244.0/22,45.81.244.0,45.81.247.255,22,255.255.252.0,1024
45.82.168.0/22,45.82.168.0,45.82.171.255,22,255.255.252.0,1024
45.82.204.0/22,45.82.204.0,45.82.207.255,22,255.255.252.0,1024
45.83.252.0/22,45.83.252.0,45.83.255.255,22,255.255.252.0,1024
45.84.144.0/22,45.84.144.0,45.84.147.255,22,255.255.252.0,1024
45.84.252.0/22,45.84.252.0,45.84.255.255,22,255.255.252.0,1024
45.85.12.0/22,45.85.12.0,45.85.15.255,22,255.255.252.0,1024
45.85.84.0/22,45.85.84.0,45.85.87.255,22,255.255.252.0,1024
45.85.192.0/22,45.85.192.0,45.85.195.255,22,255.255.252.0,1024
45.86.116.0/22,45.86.116.0,45.86.119.255,22,255.255.252.0,1024
45.86.164.0/22,45.86.164.0,45.86.167.255,22,255.255.252.0,1024
45.86.192.0/22,45.86.192.0,45.86.195.255,22,255.255.252.0,1024
45.87.192.0/21,45.87.192.0,45.87.199.255,21,255.255.248.0,2048
45.88.240.0/22,45.88.240.0,45.88.243.255,22,255.255.252.0,1024
45.89.12.0/22,45.89.12.0,45.89.15.255,22,255.255.252.0,1024
45.90.24.0/22,45.90.24.0,45.90.27.255,22,255.255.252.0,1024
45.90.68.0/22,45.90.68.0,45.90.71.255,22,255.255.252.0,1024
45.90.76.0/22,45.90.76.0,45.90.79.255,22,255.255.252.0,1024
45.91.24.0/22,45.91.24.0,45.91.27.255,22,255.255.252.0,1024
45.91.44.0/22,45.91.44.0,45.91.47.255,22,255.255.252.0,1024
45.91.244.0/22,45.91.244.0,45.91.247.255,22,255.255.252.0,1024
45.91.254.0/23,45.91.254.0,45.91.255.255,23,255.255.254.0,512
45.92.212.0/22,45.92.212.0,45.92.215.255,22,255.255.252.0,1024
45.93.116.0/22,45.93.116.0,45.93.119.255,22,255.255.252.0,1024
45.93.252.0/22,45.93.252.0,45.93.255.255,22,255.255.252.0,1024
45.94.164.0/22,45.94.164.0,45.94.167.255,22,255.255.252.0,1024
45.95.124.0/22,45.95.124.0,45.95.127.255,22,255.255.252.0,1024
45.95.140.0/22,45.95.140.0,45.95.143.255,22,255.255.252.0,1024
45.95.152.0/22,45.95.152.0,45.95.155.255,22,255.255.252.0,1024
45.128.28.0/22,45.128.28.0,45.128.31.255,22,255.255.252.0,1024
45.128.164.0/22,45.128.164.0,45.128.167.255,22,255.255.252.0,1024
45.128.172.0/22,45.128.172.0,45.128.175.255,22,255.255.252.0,1024
45.129.28.0/22,45.129.28.0,45.129.31.255,22,255.255.252.0,1024
45.130.72.0/22,45.130.72.0,45.130.75.255,22,255.255.252.0,1024
45.130.204.0/22,45.130.204.0,45.130.207.255,22,255.255.252.0,1024
45.131.24.0/22,45.131.24.0,45.131.27.255,22,255.255.252.0,1024
45.131.252.0/22,45.131.252.0,45.131.255.255,22,255.255.252.0,1024
45.132.12.0/22,45.132.12.0,45.132.15.255,22,255.255.252.0,1024
45.132.35.0/24,45.132.35.0,45.132.35.255,24,255.255.255.0,256
45.132.60.0/22,45.132.60.0,45.132.63.255,22,255.255.252.0,1024
45.133.64.0/22,45.133.64.0,45.133.67.255,22,255.255.252.0,1024
45.133.84.0/22,45.133.84.0,45.133.87.255,22,255.255.252.0,1024
45.134.0.0/22,45.134.0.0,45.134.3.255,22,255.255.252.0,1024
45.134.244.0/22,45.134.244.0,45.134.247.255,22,255.255.252.0,1024
45.135.100.0/22,45.135.100.0,45.135.103.255,22,255.255.252.0,1024
45.135.220.0/22,45.135.220.0,45.135.223.255,22,255.255.252.0,1024
45.136.0.0/22,45.136.0.0,45.136.3.255,22,255.255.252.0,1024
45.136.60.0/22,45.136.60.0,45.136.63.255,22,255.255.252.0,1024
45.137.4.0/22,45.137.4.0,45.137.7.255,22,255.255.252.0,1024
45.137.216.0/22,45.137.216.0,45.137.219.255,22,255.255.252.0,1024
45.138.20.0/22,45.138.20.0,45.138.23.255,22,255.255.252.0,1024
45.138.108.0/22,45.138.108.0,45.138.111.255,22,255.255.252.0,1024
45.138.208.0/22,45.138.208.0,45.138.211.255,22,255.255.252.0,1024
45.139.60.0/22,45.139.60.0,45.139.63.255,22,255.255.252.0,1024
45.140.148.0/22,45.140.148.0,45.140.151.255,22,255.255.252.0,1024
45.141.56.0/22,45.141.56.0,45.141.59.255,22,255.255.252.0,1024
45.141.144.0/22,45.141.144.0,45.141.147.255,22,255.255.252.0,1024
45.141.244.0/22,45.141.244.0,45.141.247.255,22,255.255.252.0,1024
45.142.60.0/22,45.142.60.0,45.142.63.255,22,255.255.252.0,1024
45.142.240.0/22,45.142.240.0,45.142.243.255,22,255.255.252.0,1024
45.143.24.0/22,45.143.24.0,45.143.27.255,22,255.255.252.0,1024
45.143.44.0/22,45.143.44.0,45.143.47.255,22,255.255.252.0,1024
45.143.64.0/22,45.143.64.0,45.143.67.255,22,255.255.252.0,1024
45.144.68.0/22,45.144.68.0,45.144.71.255,22,255.255.252.0,1024
45.144.72.0/22,45.144.72.0,45.144.75.255,22,255.255.252.0,1024
45.144.84.0/22,45.144.84.0,45.144.87.255,22,255.255.252.0,1024
45.144.200.0/22,45.144.200.0,45.144.203.255,22,255.255.252.0,1024
45.144.208.0/22,45.144.208.0,45.144.211.255,22,255.255.252.0,1024
45.145.80.0/22,45.145.80.0,45.145.83.255,22,255.255.252.0,1024
45.145.192.0/22,45.145.192.0,45.145.195.255,22,255.255.252.0,1024
45.146.216.0/22,45.146.216.0,45.146.219.255,22,255.255.252.0,1024
45.147.108.0/22,45.147.108.0,45.147.111.255,22,255.255.252.0,1024
45.148.128.0/22,45.148.128.0,45.148.131.255,22,255.255.252.0,1024
45.149.32.0/22,45.149.32.0,45.149.35.255,22,255.255.252.0,1024
45.149.196.0/22,45.149.196.0,45.149.199.255,22,255.255.252.0,1024
45.150.96.0/22,45.150.96.0,45.150.99.255,22,255.255.252.0,1024
45.151.72.0/22,45.151.72.0,45.151.75.255,22,255.255.252.0,1024
45.151.172.0/22,45.151.172.0,45.151.175.255,22,255.255.252.0,1024
45.151.204.0/22,45.151.204.0,45.151.207.255,22,255.255.252.0,1024
45.152.40.0/22,45.152.40.0,45.152.43.255,22,255.255.252.0,1024
45.152.52.0/22,45.152.52.0,45.152.55.255,22,255.255.252.0,1024
45.153.124.0/22,45.153.124.0,45.153.127.255,22,255.255.252.0,1024
45.153.140.0/22,45.153.140.0,45.153.143.255,22,255.255.252.0,1024
45.153.168.0/22,45.153.168.0,45.153.171.255,22,255.255.252.0,1024
45.155.184.0/22,45.155.184.0,45.155.187.255,22,255.255.252.0,1024
45.155.244.0/22,45.155.244.0,45.155.247.255,22,255.255.252.0,1024
45.156.4.0/22,45.156.4.0,45.156.7.255,22,255.255.252.0,1024
45.156.240.0/22,45.156.240.0,45.156.243.255,22,255.255.252.0,1024
45.158.32.0/22,45.158.32.0,45.158.35.255,22,255.255.252.0,1024
46.17.224.0/21,46.17.224.0,46.17.231.255,21,255.255.248.0,2048
46.20.16.0/20,46.20.16.0,46.20.31.255,20,255.255.240.0,4096
46.57.0.0/17,46.57.0.0,46.57.127.255,17,255.255.128.0,32768
46.74.0.0/15,46.74.0.0,46.75.255.255,15,255.254.0.0,131072
46.102.156.0/23,46.102.156.0,46.102.157.255,23,255.255.254.0,512
46.124.0.0/15,46.124.0.0,46.125.255.255,15,255.254.0.0,131072
46.151.200.0/21,46.151.200.0,46.151.207.255,21,255.255.248.0,2048
46.183.184.0/21,46.183.184.0,46.183.191.255,21,255.255.248.0,2048
46.206.0.0/15,46.206.0.0,46.207.255.255,15,255.254.0.0,131072
46.220.0.0/16,46.220.0.0,46.220.255.255,16,255.255.0.0,65536
46.243.104.0/21,46.243.104.0,46.243.111.255,21,255.255.248.0,2048
46.245.200.0/21,46.245.200.0,46.245.207.255,21,255.255.248.0,2048
46.247.192.0/19,46.247.192.0,46.247.223.255,19,255.255.224.0,8192
46.251.239.0/24,46.251.239.0,46.251.239.255,24,255.255.255.0,256
62.3.47.0/24,62.3.47.0,62.3.47.255,24,255.255.255.0,256
62.13.192.0/19,62.13.192.0,62.13.223.255,19,255.255.224.0,8192
62.40.128.0/17,62.40.128.0,62.40.255.255,17,255.255.128.0,32768
62.46.0.0/15,62.46.0.0,62.47.255.255,15,255.254.0.0,131072
62.68.192.0/19,62.68.192.0,62.68.223.255,19,255.255.224.0,8192
62.93.64.0/18,62.93.64.0,62.93.127.255,18,255.255.192.0,16384
62.99.128.0/17,62.99.128.0,62.99.255.255,17,255.255.128.0,32768
62.116.0.0/17,62.116.0.0,62.116.127.255,17,255.255.128.0,32768
62.122.24.0/22,62.122.24.0,62.122.27.255,22,255.255.252.0,1024
62.140.32.0/19,62.140.32.0,62.140.63.255,19,255.255.224.0,8192
62.178.0.0/16,62.178.0.0,62.178.255.255,16,255.255.0.0,65536
62.212.160.0/19,62.212.160.0,62.212.191.255,19,255.255.224.0,8192
62.218.0.0/16,62.218.0.0,62.218.255.255,16,255.255.0.0,65536
62.240.128.0/19,62.240.128.0,62.240.159.255,19,255.255.224.0,8192
62.249.64.0/18,62.249.64.0,62.249.127.255,18,255.255.192.0,16384
63.247.208.0/20,63.247.208.0,63.247.223.255,20,255.255.240.0,4096
64.34.16.0/22,64.34.16.0,64.34.19.255,22,255.255.252.0,1024
77.72.160.0/21,77.72.160.0,77.72.167.255,21,255.255.248.0,2048
77.74.112.0/21,77.74.112.0,77.74.119.255,21,255.255.248.0,2048
77.75.16.0/20,77.75.16.0,77.75.31.255,20,255.255.240.0,4096
77.80.0.0/17,77.80.0.0,77.80.127.255,17,255.255.128.0,32768
77.83.108.0/22,77.83.108.0,77.83.111.255,22,255.255.252.0,1024
77.83.156.0/22,77.83.156.0,77.83.159.255,22,255.255.252.0,1024
77.116.0.0/14,77.116.0.0,77.119.255.255,14,255.252.0.0,262144
77.220.96.0/20,77.220.96.0,77.220.111.255,20,255.255.240.0,4096
77.220.112.0/22,77.220.112.0,77.220.115.255,22,255.255.252.0,1024
77.220.120.0/21,77.220.120.0,77.220.127.255,21,255.255.248.0,2048
77.223.0.0/22,77.223.0.0,77.223.3.255,22,255.255.252.0,1024
77.235.64.0/19,77.235.64.0,77.235.95.255,19,255.255.224.0,8192
77.237.32.0/19,77.237.32.0,77.237.63.255,19,255.255.224.0,8192
77.242.64.0/20,77.242.64.0,77.242.79.255,20,255.255.240.0,4096
77.243.92.0/22,77.243.92.0,77.243.95.255,22,255.255.252.0,1024
77.244.240.0/20,77.244.240.0,77.244.255.255,20,255.255.240.0,4096
78.40.212.0/22,78.40.212.0,78.40.215.255,22,255.255.252.0,1024
78.41.112.0/21,78.41.112.0,78.41.119.255,21,255.255.248.0,2048
78.41.144.0/21,78.41.144.0,78.41.151.255,21,255.255.248.0,2048
78.104.0.0/16,78.104.0.0,78.104.255.255,16,255.255.0.0,65536
78.132.0.0/17,78.132.0.0,78.132.127.255,17,255.255.128.0,32768
78.138.20.0/22,78.138.20.0,78.138.23.255,22,255.255.252.0,1024
78.142.64.0/18,78.142.64.0,78.142.127.255,18,255.255.192.0,16384
78.142.128.0/18,78.142.128.0,78.142.191.255,18,255.255.192.0,16384
78.152.64.0/19,78.152.64.0,78.152.95.255,19,255.255.224.0,8192
79.143.48.0/20,79.143.48.0,79.143.63.255,20,255.255.240.0,4096
79.170.208.0/21,79.170.208.0,79.170.215.255,21,255.255.248.0,2048
79.174.20.0/22,79.174.20.0,79.174.23.255,22,255.255.252.0,1024
79.174.96.0/19,79.174.96.0,79.174.127.255,19,255.255.224.0,8192
80.64.128.0/20,80.64.128.0,80.64.143.255,20,255.255.240.0,4096
80.66.32.0/19,80.66.32.0,80.66.63.255,19,255.255.224.0,8192
80.68.149.0/24,80.68.149.0,80.68.149.255,24,255.255.255.0,256
80.75.32.0/19,80.75.32.0,80.75.63.255,19,255.255.224.0,8192
80.75.224.0/19,80.75.224.0,80.75.255.255,19,255.255.224.0,8192
80.80.240.0/20,80.80.240.0,80.80.255.255,20,255.255.240.0,4096
80.89.96.0/20,80.89.96.0,80.89.111.255,20,255.255.240.0,4096
80.92.112.0/20,80.92.112.0,80.92.127.255,20,255.255.240.0,4096
80.93.32.0/20,80.93.32.0,80.93.47.255,20,255.255.240.0,4096
80.108.0.0/15,80.108.0.0,80.109.255.255,15,255.254.0.0,131072
80.110.0.0/16,80.110.0.0,80.110.255.255,16,255.255.0.0,65536
80.120.0.0/14,80.120.0.0,80.123.255.255,14,255.252.0.0,262144
80.240.224.0/20,80.240.224.0,80.240.239.255,20,255.255.240.0,4096
80.241.16.0/20,80.241.16.0,80.241.31.255,20,255.255.240.0,4096
80.243.160.0/20,80.243.160.0,80.243.175.255,20,255.255.240.0,4096
80.243.224.0/22,80.243.224.0,80.243.227.255,22,255.255.252.0,1024
80.245.192.0/20,80.245.192.0,80.245.207.255,20,255.255.240.0,4096
80.249.120.0/22,80.249.120.0,80.249.123.255,22,255.255.252.0,1024
81.3.192.0/18,81.3.192.0,81.3.255.255,18,255.255.192.0,16384
81.5.192.0/18,81.5.192.0,81.5.255.255,18,255.255.192.0,16384
81.10.128.0/17,81.10.128.0,81.10.255.255,17,255.255.128.0,32768
81.16.24.0/22,81.16.24.0,81.16.27.255,22,255.255.252.0,1024
81.16.32.0/20,81.16.32.0,81.16.47.255,20,255.255.240.0,4096
81.16.96.0/20,81.16.96.0,81.16.111.255,20,255.255.240.0,4096
81.16.136.0/22,81.16.136.0,81.16.139.255,22,255.255.252.0,1024
81.16.144.0/20,81.16.144.0,81.16.159.255,20,255.255.240.0,4096
81.19.144.0/20,81.19.144.0,81.19.159.255,20,255.255.240.0,4096
81.21.112.0/20,81.21.112.0,81.21.127.255,20,255.255.240.0,4096
81.25.208.0/20,81.25.208.0,81.25.223.255,20,255.255.240.0,4096
81.28.128.0/20,81.28.128.0,81.28.143.255,20,255.255.240.0,4096
81.92.240.0/22,81.92.240.0,81.92.243.255,22,255.255.252.0,1024
81.94.48.0/20,81.94.48.0,81.94.63.255,20,255.255.240.0,4096
81.161.115.0/24,81.161.115.0,81.161.115.255,24,255.255.255.0,256
81.173.80.0/23,81.173.80.0,81.173.81.255,23,255.255.254.0,512
81.189.0.0/16,81.189.0.0,81.189.255.255,16,255.255.0.0,65536
81.217.0.0/16,81.217.0.0,81.217.255.255,16,255.255.0.0,65536
81.223.0.0/16,81.223.0.0,81.223.255.255,16,255.255.0.0,65536
82.103.0.0/18,82.103.0.0,82.103.63.255,18,255.255.192.0,16384
82.149.96.0/19,82.149.96.0,82.149.127.255,19,255.255.224.0,8192
82.150.192.0/19,82.150.192.0,82.150.223.255,19,255.255.224.0,8192
82.192.0.0/19,82.192.0.0,82.192.31.255,19,255.255.224.0,8192
82.194.128.0/19,82.194.128.0,82.194.159.255,19,255.255.224.0,8192
82.218.0.0/16,82.218.0.0,82.218.255.255,16,255.255.0.0,65536
83.64.0.0/15,83.64.0.0,83.65.255.255,15,255.254.0.0,131072
83.68.128.0/19,83.68.128.0,83.68.159.255,19,255.255.224.0,8192
83.136.32.0/21,83.136.32.0,83.136.39.255,21,255.255.248.0,2048
83.137.40.0/21,83.137.40.0,83.137.47.255,21,255.255.248.0,2048
83.137.112.0/21,83.137.112.0,83.137.119.255,21,255.255.248.0,2048
83.138.55.0/24,83.138.55.0,83.138.55.255,24,255.255.255.0,256
83.164.0.0/16,83.164.0.0,83.164.255.255,16,255.255.0.0,65536
83.172.134.0/23,83.172.134.0,83.172.135.255,23,255.255.254.0,512
83.172.136.0/24,83.172.136.0,83.172.136.255,24,255.255.255.0,256
83.172.138.0/23,83.172.138.0,83.172.139.255,23,255.255.254.0,512
83.172.150.0/23,83.172.150.0,83.172.151.255,23,255.255.254.0,512
83.172.153.0/24,83.172.153.0,83.172.153.255,24,255.255.255.0,256
83.172.159.0/24,83.172.159.0,83.172.159.255,24,255.255.255.0,256
83.172.169.0/24,83.172.169.0,83.172.169.255,24,255.255.255.0,256
83.175.64.0/18,83.175.64.0,83.175.127.255,18,255.255.192.0,16384
83.215.0.0/16,83.215.0.0,83.215.255.255,16,255.255.0.0,65536
83.216.32.0/19,83.216.32.0,83.216.63.255,19,255.255.224.0,8192
83.216.192.0/19,83.216.192.0,83.216.223.255,19,255.255.224.0,8192
83.218.160.0/19,83.218.160.0,83.218.191.255,19,255.255.224.0,8192
83.219.160.0/19,83.219.160.0,83.219.191.255,19,255.255.224.0,8192
83.229.64.0/24,83.229.64.0,83.229.64.255,24,255.255.255.0,256
83.229.93.0/24,83.229.93.0,83.229.93.255,24,255.255.255.0,256
83.229.109.0/24,83.229.109.0,83.229.109.255,24,255.255.255.0,256
83.243.120.0/22,83.243.120.0,83.243.123.255,22,255.255.252.0,1024
84.20.160.0/19,84.20.160.0,84.20.191.255,19,255.255.224.0,8192
84.38.112.0/20,84.38.112.0,84.38.127.255,20,255.255.240.0,4096
84.39.184.0/21,84.39.184.0,84.39.191.255,21,255.255.248.0,2048
84.112.0.0/14,84.112.0.0,84.115.255.255,14,255.252.0.0,262144
84.242.8.0/21,84.242.8.0,84.242.15.255,21,255.255.248.0,2048
84.247.61.0/24,84.247.61.0,84.247.61.255,24,255.255.255.0,256
85.13.0.0/18,85.13.0.0,85.13.63.255,18,255.255.192.0,16384
85.31.0.0/19,85.31.0.0,85.31.31.255,19,255.255.224.0,8192
85.90.128.0/19,85.90.128.0,85.90.159.255,19,255.255.224.0,8192
85.118.184.0/21,85.118.184.0,85.118.191.255,21,255.255.248.0,2048
85.124.0.0/14,85.124.0.0,85.127.255.255,14,255.252.0.0,262144
85.158.224.0/21,85.158.224.0,85.158.231.255,21,255.255.248.0,2048
85.159.119.0/24,85.159.119.0,85.159.119.255,24,255.255.255.0,256
85.193.128.0/20,85.193.128.0,85.193.143.255,20,255.255.240.0,4096
85.193.160.0/19,85.193.160.0,85.193.191.255,19,255.255.224.0,8192
85.199.0.0/18,85.199.0.0,85.199.63.255,18,255.255.192.0,16384
85.208.152.0/22,85.208.152.0,85.208.155.255,22,255.255.252.0,1024
85.208.168.0/22,85.208.168.0,85.208.171.255,22,255.255.252.0,1024
85.209.20.0/22,85.209.20.0,85.209.23.255,22,255.255.252.0,1024
85.209.252.0/22,85.209.252.0,85.209.255.255,22,255.255.252.0,1024
85.232.64.0/19,85.232.64.0,85.232.95.255,19,255.255.224.0,8192
85.233.96.0/19,85.233.96.0,85.233.127.255,19,255.255.224.0,8192
85.236.224.0/19,85.236.224.0,85.236.255.255,19,255.255.224.0,8192
85.237.0.0/19,85.237.0.0,85.237.31.255,19,255.255.224.0,8192
85.238.160.0/19,85.238.160.0,85.238.191.255,19,255.255.224.0,8192
85.255.144.0/20,85.255.144.0,85.255.159.255,20,255.255.240.0,4096
86.56.128.0/17,86.56.128.0,86.56.255.255,17,255.255.128.0,32768
86.59.0.0/17,86.59.0.0,86.59.127.255,17,255.255.128.0,32768
86.62.32.0/22,86.62.32.0,86.62.35.255,22,255.255.252.0,1024
86.106.119.0/24,86.106.119.0,86.106.119.255,24,255.255.255.0,256
86.106.182.0/23,86.106.182.0,86.106.183.255,23,255.255.254.0,512
86.107.244.0/23,86.107.244.0,86.107.245.255,23,255.255.254.0,512
86.109.24.0/21,86.109.24.0,86.109.31.255,21,255.255.248.0,2048
86.111.32.0/20,86.111.32.0,86.111.47.255,20,255.255.240.0,4096
86.111.50.0/23,86.111.50.0,86.111.51.255,23,255.255.254.0,512
86.111.52.0/23,86.111.52.0,86.111.53.255,23,255.255.254.0,512
86.111.56.0/22,86.111.56.0,86.111.59.255,22,255.255.252.0,1024
87.120.162.0/23,87.120.162.0,87.120.163.255,23,255.255.254.0,512
87.236.112.0/21,87.236.112.0,87.236.119.255,21,255.255.248.0,2048
87.239.48.0/22,87.239.48.0,87.239.51.255,22,255.255.252.0,1024
87.243.128.0/18,87.243.128.0,87.243.191.255,18,255.255.192.0,16384
87.247.192.0/19,87.247.192.0,87.247.223.255,19,255.255.224.0,8192
88.116.0.0/15,88.116.0.0,88.117.255.255,15,255.254.0.0,131072
88.133.144.0/21,88.133.144.0,88.133.151.255,21,255.255.248.0,2048
88.133.152.0/22,88.133.152.0,88.133.155.255,22,255.255.252.0,1024
88.151.72.0/21,88.151.72.0,88.151.79.255,21,255.255.248.0,2048
88.218.52.0/22,88.218.52.0,88.218.55.255,22,255.255.252.0,1024
89.16.192.0/19,89.16.192.0,89.16.223.255,19,255.255.224.0,8192
89.26.0.0/17,89.26.0.0,89.26.127.255,17,255.255.128.0,32768
89.31.120.0/22,89.31.120.0,89.31.123.255,22,255.255.252.0,1024
89.31.128.0/21,89.31.128.0,89.31.135.255,21,255.255.248.0,2048
89.35.48.0/23,89.35.48.0,89.35.49.255,23,255.255.254.0,512
89.37.88.0/22,89.37.88.0,89.37.91.255,22,255.255.252.0,1024
89.37.98.0/23,89.37.98.0,89.37.99.255,23,255.255.254.0,512
89.39.64.0/23,89.39.64.0,89.39.65.255,23,255.255.254.0,512
89.40.104.0/23,89.40.104.0,89.40.105.255,23,255.255.254.0,512
89.41.128.0/21,89.41.128.0,89.41.135.255,21,255.255.248.0,2048
89.42.158.0/23,89.42.158.0,89.42.159.255,23,255.255.254.0,512
89.46.122.0/24,89.46.122.0,89.46.122.255,24,255.255.255.0,256
89.46.124.0/24,89.46.124.0,89.46.124.255,24,255.255.255.0,256
89.46.232.0/21,89.46.232.0,89.46.239.255,21,255.255.248.0,2048
89.104.0.0/19,89.104.0.0,89.104.31.255,19,255.255.224.0,8192
89.105.160.0/19,89.105.160.0,89.105.191.255,19,255.255.224.0,8192
89.106.208.0/21,89.106.208.0,89.106.215.255,21,255.255.248.0,2048
89.144.192.0/18,89.144.192.0,89.144.255.255,18,255.255.192.0,16384
89.185.96.0/19,89.185.96.0,89.185.127.255,19,255.255.224.0,8192
89.188.64.0/21,89.188.64.0,89.188.71.255,21,255.255.248.0,2048
89.207.120.0/21,89.207.120.0,89.207.127.255,21,255.255.248.0,2048
89.207.144.0/22,89.207.144.0,89.207.147.255,22,255.255.252.0,1024
